Parameter;Value;;s;iObs(s);Fit
cno;0;;0.117582529670113;3664.092589;3366.77520158231
mu;8;;0.123218778035669;3526.837888;3248.22096077521
beta;2.5;;0.128852798001098;3409.460862;3144.9111334424
a3;3.5;;0.134484430330948;3308.058094;3054.57102255001
da3;0.6;;0.140113356677289;3219.749635;2975.23936971196
a3min;2.9;;0.145739577021515;3136.256505;2902.38537044851
sig3;0.3;;0.151363250506901;3057.610466;2835.58881355428
u3;0;;0.156983899770614;2989.857498;2776.73850403309
eta;0.87;;0.162601524577739;2932.231751;2725.01458422626
nu;4;;0.16821612520082;2884.438532;2679.81224249434
alpha;0.2;;0.173827383023807;2846.501085;2640.76412957734
sig1;0.1;;0.179435457365942;2818.772822;2607.97640776843
lcc;1.412;;0.185040188988585;2802.122263;2582.05963074569
q;0;;0.190641259613451;2797.52955;2563.76456855388
dan;0;;0.196238669143473;2806.243748;2554.6192974535
k;720;;0.201832417725642;2829.532828;2556.41501592334
const1;1520;;0.207422345937024;2868.646845;2571.76453366944
const2;0;;0.213008294905333;2924.228333;2603.3815116852
g;0;;0.218590264431402;2996.336874;2654.27703394084
La;25;;0.224167936196142;3083.893799;2726.93614440668
lm;20;;0.229741469447832;3184.545011;2822.88275315936
kapa;0.25;;0.235310545782136;3294.193596;2941.60619423944
Nm;3.2;;0.240875165232284;3407.282674;3080.0108909833
N;3.6;;0.24643516853263;3516.636612;3231.29852061789
Lc;12.6;;0.251990555699392;3614.24294;3385.20189621563
kapc;0.125;;0.257541167595122;3691.796106;3528.46064496648
;;;0.263086845133231;3741.767961;3646.11385150787
;;;0.268627429069643;3758.256147;3724.01123483836
;;;0.274162919343727;3737.90731;3751.12238833433
;;;0.279693315932238;3680.42088;3721.89986017536
;;;0.285218141438538;3588.540881;3637.32929820824
;;;0.290737714118951;3467.783898;3504.84286497818
;;;0.296251715733432;3325.572877;3336.75699562812
;;;0.301760146079812;3170.379116;3147.94742521422
;;;0.307262846256027;3010.50305;2953.30676937935
;;;0.312759497624586;2853.425336;2765.48523054517
;;;0.318250418761581;2705.136313;2593.7121764732
;;;0.323735131979021;2569.748622;2443.45159005551
;;;0.329213796545341;2449.7374;2316.70530014783
;;;0.33468609413098;2345.925758;2212.83183976397
;;;0.340152024638723;2257.960628;2129.66384573632
;;;0.345611428963204;2184.683857;2064.00340169225
;;;0.351064466273022;2124.424798;2012.66299704769
;;;0.356510659041201;2075.34243;1972.61194281891
;;;0.361950007193063;2035.614426;1941.2255362077
;;;0.367382670083742;2003.551028;1916.46052864449
;;;0.372808170037641;1977.735908;1896.62921895381
;;;0.378226666207615;1956.950456;1880.57181288511
;;;0.383637840370879;1940.254724;1867.39018488266
;;;0.389041851617939;1926.921876;1856.45958129231
;;;0.394438381522139;1916.453713;1847.39884732137
;;;0.399827271075224;1908.535173;1839.93049595421
;;;0.405208838556983;1902.989022;1833.93140870214
;;;0.410582447296387;1899.844115;1829.3894946963
;;;0.415948415467429;1899.267022;1826.41262499158
;;;0.421306265796524;1901.570578;1825.29999154886
;;;0.426656316507676;1907.265035;1826.53805932892
;;;0.431998090043932;1916.945067;1831.04850309091
;;;0.437331745733121;1931.133687;1840.16775166895
;;;0.442656965060687;1950.499945;1856.32094065246
;;;0.447973748046989;1975.15291;1882.8236590654
;;;0.453282094763408;2004.315082;1923.45949450513
;;;0.458581845944739;2036.007018;1980.25625234224
;;;0.463872683337787;2066.999819;2049.23083511809
;;;0.469154925225927;2093.321695;2116.93660546108
;;;0.474428094098678;2111.308673;2164.46986373345
;;;0.479692190051197;2118.750674;2179.51963338535
;;;0.484947212879189;2115.524007;2164.25784275215
;;;0.490193003591772;2103.379108;2130.71374446166
;;;0.49542940294955;2085.062431;2091.1265485446
;;;0.500656570100094;2063.445239;2052.97683899983
;;;0.505874027461083;2040.841305;2019.35410576884
;;;0.511081934351649;2018.815336;1990.84985364279
;;;0.516279972417444;1998.251423;1967.02965701185
;;;0.521468300695842;1979.500867;1947.16581195366
;;;0.526646760090737;1962.576646;1930.51368239311
;;;0.531815032314615;1947.297391;1916.40371314853
;;;0.53697327644932;1933.379139;1904.23151297991
;;;0.542121333299245;1920.514193;1893.45550158256
;;;0.5472588846414;1908.395814;1883.58859605633
;;;0.552386248655115;1896.741439;1874.20122444472
;;;0.557502947960469;1885.325807;1864.92381439331
;;;0.562609141619755;1873.965814;1855.47696240969
;;;0.567704511423778;1862.551238;1845.66276171574
;;;0.572789057209834;1851.013279;1835.37368372076
;;;0.57786277911573;1839.352162;1824.60715053126
;;;0.582925517873812;1827.605592;1813.42174542538
;;;0.587977114358548;1815.847427;1801.95918046391
;;;0.59301756857933;1804.174552;1790.38253926578
;;;0.598046721284598;1792.696406;1778.88298836735
;;;0.603064413302678;1781.512227;1767.6381438677
;;;0.608070644752534;1770.724328;1756.79614656238
;;;0.61306525637554;1760.413909;1746.49517886124
;;;0.618048407317708;1750.641049;1736.81353339382
;;;0.623019620177313;1741.448124;1727.80316756556
;;;0.62797889477568;1732.861903;1719.48059014285
;;;0.632926390447786;1724.879549;1711.83635270724
;;;0.637861788686287;1717.492461;1704.83985491555
;;;0.642784930523563;1710.682127;1698.45346459251
;;;0.64769597497312;1704.419917;1692.62262429972
;;;0.652594603676149;1698.672893;1687.30186407828
;;;0.657480816747517;1693.402794;1682.43979198707
;;;0.662354614078564;1688.575228;1677.98588924231
;;;0.667215677383437;1684.157087;1673.90388271575
;;;0.672064165786292;1680.115467;1670.14645069447
;;;0.676899760995567;1676.421534;1666.69036757943
;;;0.68172246295884;1673.050632;1663.50403701256
;;;0.686532112510113;1669.98159;1660.56462493979
;;;0.691328868897289;1667.197023;1657.85288354698
;;;0.696112413648854;1664.683193;1655.35474902539
;;;0.700882587730433;1662.428906;1653.05926299685
;;;0.705639550199084;1660.43142;1650.95621908025
;;;0.710382982735262;1658.683127;1649.04211781185
;;;0.715112885305435;1657.189909;1647.31524145374
;;;0.719829257955474;1655.953164;1645.77252101756
;;;0.724531941532995;1654.982935;1644.42311978471
;;;0.729220776915018;1654.291719;1643.27157288212
;;;0.733895763906016;1653.899947;1642.32919705334
;;;0.738556743496573;1653.828314;1641.61366943532
;;;0.743203715600856;1654.105593;1641.15148201103
;;;0.747836361970102;1654.765575;1640.97488128658
;;;0.752455000839011;1655.849361;1641.12874449228
;;;0.757059154692793;1657.401204;1641.67310568897
;;;0.761648982764575;1659.470837;1642.68910856334
;;;0.766224325965976;1662.109309;1644.28759863808
;;;0.770785024924846;1665.361544;1646.61782127197
;;;0.775331079662131;1669.269059;1649.88214830687
;;;0.779862331143755;1673.849945;1654.34691367554
;;;0.784378779344214;1679.093406;1660.34784065207
;;;0.788880264957231;1684.94652;1668.27853589057
;;;0.793366628946414;1691.297276;1678.52931793787
;;;0.797838030332872;1697.973309;1691.36584013072
;;;0.802294150994992;1704.736071;1706.70143158168
;;;0.806735149908622;1711.296903;1723.84924608863
;;;0.811160708774231;1717.339844;1741.37015983104
;;;0.815570827610731;1722.556641;1757.24589332381
;;;0.819965347228773;1726.688452;1769.43914920526
;;;0.824344267744193;1729.557888;1776.58776522326
;;;0.82870758890281;1731.085347;1778.45064041321
;;;0.833055151783865;1731.294173;1775.79728104025
;;;0.837386637873353;1730.294727;1769.93959423849
;;;0.841702365614105;1728.261661;1762.21625524472
;;;0.84600201658557;1725.39574;1753.69703899046
;;;0.85028559086481;1721.909099;1745.09491461994
;;;0.854552929195541;1717.99471;1736.82087257528
;;;0.858804031695197;1713.822963;1729.06901268471
;;;0.863038898220686;1709.532261;1721.90840051367
;;;0.867257210470883;1705.229979;1715.33617579577
;;;0.871458968516475;1700.996206;1709.3204800446
;;;0.875644172252595;1696.889384;1703.81607225062
;;;0.879812662572537;1692.94899;1698.77795515628
;;;0.883964598600232;1689.202919;1694.16740535606
;;;0.888099502801337;1685.666202;1689.95222966697
;;;0.892217534454628;1682.349341;1686.10927297506
;;;0.896318693551932;1679.256167;1682.62312630872
;;;0.900402661603631;1676.38686;1679.48826615784
;;;0.904469438735102;1673.738851;1676.70770426672
;;;0.908519184013312;1671.304327;1674.28984974155
;;;0.912551420024611;1669.073852;1672.25076969421
;;;0.91656646509979;1667.033332;1670.6066868549
;;;0.92056400076583;1665.166769;1669.37020287479
;;;0.924544027200542;1663.4527;1668.53539624562
;;;0.928506385159294;1661.867743;1668.06867168077
;;;0.932451074611752;1660.385654;1667.8947658329
;;;0.936378095538437;1658.980923;1667.89007404668
;;;0.940287129647342;1657.625996;1667.89783217056
;;;0.944178495214498;1656.297829;1667.7493643957
;;;0.94805171483683;1654.976397;1667.30467762137
;;;0.951906947588408;1653.646096;1666.47981235169
;;;0.95574403428099;1652.298556;1665.26360283985
;;;0.959562975053257;1650.928412;1663.70388459722
;;;0.963363451354479;1649.53659;1661.88606685255
;;;0.967145781685408;1648.128063;1659.90627208804
;;;0.970909647702629;1646.711078;1657.85196393521
;;;0.974655049262042;1645.2936;1655.79224173178
;;;0.978381827290003;1643.885824;1653.77649971458
;;;0.982090140973212;1642.4979;1651.83583118186
;;;0.985779671944263;1641.137755;1649.98818261936
;;;0.989450261059108;1639.813148;1648.24159937896
;;;0.993102226587595;1638.530648;1646.59837927389
;;;0.996735250306225;1637.294389;1645.0566894117
;;;1.00034917276116;1636.108752;1643.61231910505
;;;1.00394415355946;1634.975362;1642.26061063153
;;;1.00752003325343;1633.896891;1640.99594125494
;;;1.01107681139717;1632.872135;1639.81327045827
;;;1.01461417044282;1631.902625;1638.70771887896
;;;1.0181322693218;1630.987559;1637.67493300427
;;;1.02163094918845;1630.125754;1636.70941004757
;;;1.02511020896693;1629.316676;1635.80736100673
;;;1.02857004924314;1628.55895;1634.96517395562
;;;1.03201015257821;1627.851301;1634.17995543464
;;;1.03543067676919;1627.191733;1633.44793545054
;;;1.03883162234683;1626.579476;1632.76670522053
;;;1.04221251146201;1626.013036;1632.13258281364
;;;1.04557382235529;1625.490739;1631.54502026859
;;;1.04891507712188;1625.010678;1631.00055781274
;;;1.05223643495815;1624.572549;1630.49734300405
;;;1.05553773690276;1624.173978;1630.0332159592
;;;1.0588188234;1623.814167;1629.60741579928
;;;1.06207985353569;1623.491572;1629.21713565642
;;;1.06532066870854;1623.204925;1628.86184142254
;;;1.06854126838208;1622.954002;1628.54008946194
;;;1.07174133452084;1622.736504;1628.25007014645
;;;1.07492118522337;1622.552387;1627.99078678038
;;;1.07808050223973;1622.400448;1627.76103127095
;;;1.08121928578377;1622.279151;1627.56032775598
;;;1.08433753552048;1622.188245;1627.38732475588
;;;1.08743509253851;1622.126625;1627.24084925265
;;;1.0905119566594;1622.093522;1627.11976408911
;;;1.09356796821699;1622.088786;1627.02425184476
;;;1.09660328755109;1622.109692;1626.95239966959
;;;1.09961775533231;1622.157855;1626.9041896534
;;;1.10261121119043;1622.230975;1626.87881690629
;;;1.10558365611981;1622.329862;1626.87487391564
;;;1.10853508990219;1622.452148;1626.89376701174
;;;1.11146535350755;1622.598334;1626.93095158339
;;;1.11437444653861;1622.767858;1626.98941952965
;;;1.11726252845727;1622.959628;1627.06726143569
;;;1.12012912132449;1623.173161;1627.16452748226
;;;1.12297454432082;1623.408358;1627.28007741756
;;;1.1257984782953;1623.6644;1627.41316968788
;;;1.12860092385325;1623.941249;1627.56386953593
;;;1.13138203988192;1624.237763;1627.73164923478
;;;1.13414150766779;1624.554078;1627.91598335659
;;;1.13687948701364;1624.889445;1628.11676355833
;;;1.13959565934895;1625.244039;1628.33381920041
;;;1.14229034259396;1625.616913;1628.56679124234
;;;1.14496305998181;1626.008191;1628.81520287686
;;;1.14761412939591;1626.416711;1629.07872647447
;;;1.15024323274397;1626.843925;1629.35781200003
;;;1.15285052872491;1627.288163;1629.65300861385
;;;1.15543585868039;1627.749837;1629.96249330416
;;;1.15799922256078;1628.228154;1630.28822931797
;;;1.16054046073094;1628.723915;1630.6286463449
;;;1.16305973260678;1629.235719;1630.98609355364
;;;1.16555672019692;1629.76455;1631.35915626026
;;;1.16803158223485;1630.309305;1631.74969321921
;;;1.1704841597022;1630.87057;1632.15746108354
;;;1.17291461178064;1631.447887;1632.58306281478
;;;1.17532262007835;1632.040982;1633.0271123279
;;;1.17770818456945;1632.650237;1633.49046881696
;;;1.18007130542134;1633.274931;1633.97517137613
;;;1.18241214166926;1633.915028;1634.48049005471
;;;1.184730374605;1634.570333;1635.00891715542
;;;1.1870260050299;1635.240083;1635.56153642989
;;;1.18929903246188;1635.924954;1636.13920473012
;;;1.19154945691779;1636.623328;1636.74440903993
;;;1.19377727837213;1637.33559;1637.37788708493
;;;1.19598233799913;1638.061299;1638.04167093302
;;;1.19816447601035;1638.799776;1638.73761047591
;;;1.20032401143113;1639.550054;1639.46772587997
;;;1.20246046589132;1640.311893;1640.23287965605
;;;1.20457415875163;1641.084333;1641.03599806212
;;;1.20666492985824;1641.866889;1641.87832612086
;;;1.20873278025222;1642.658491;1642.76177125798
;;;1.21077754983655;1643.457691;1643.68651377912
;;;1.21279923890692;1644.264217;1644.65507277719
;;;1.21479784761657;1645.077315;1645.66787153487
;;;1.2167733759001;1645.893662;1646.72445284561
;;;1.21872566443213;1646.715594;1647.82473923901
