Parameter;Value;;s;iObs(s);Fit
cno;0;;0.117582529670113;3664.092589;3664.13685747582
mu;8.00013286351296;;0.123218778035669;3526.837888;3526.84456720621
beta;3.00015284710941;;0.128852798001098;3409.460862;3409.47972129428
a3;3.4994166501186;;0.134484430330948;3308.058094;3308.06112461847
da3;0.60397148161582;;0.140113356677289;3219.749635;3219.73577353557
a3min;2.89544516850278;;0.145739577021515;3136.256505;3136.28625855431
sig3;0.299917382217136;;0.151363250506901;3057.610466;3057.57496820443
u3;0;;0.156983899770614;2989.857498;2989.89853952293
eta;0.870052696488404;;0.162601524577739;2932.231751;2932.21302559467
nu;4;;0.16821612520082;2884.438532;2884.40266760393
alpha;0.299967498885015;;0.173827383023807;2846.501085;2846.50041396756
sig1;0.149990012750154;;0.179435457365942;2818.772822;2818.76516240585
lcc;1.41182742719496;;0.185040188988585;2802.122263;2802.12872265636
q;0;;0.190641259613451;2797.52955;2797.53007702266
dan;0;;0.196238669143473;2806.243748;2806.26806857955
k;780.152397877881;;0.201832417725642;2829.532828;2829.55793709931
const1;1499.98729981412;;0.207422345937024;2868.646845;2868.64439416655
const2;0;;0.213008294905333;2924.228333;2924.23252613954
g;0;;0.218590264431402;2996.336874;2996.31386085147
La;16.6684724798023;;0.224167936196142;3083.893799;3083.8777783706
lm;13.3347779838418;;0.229741469447832;3184.545011;3184.54953683995
kapa;0.25;;0.235310545782136;3294.193596;3294.22678334151
Nm;2.66657509507255;;0.240875165232284;3407.282674;3407.27134996085
N;2.99989144625895;;0.24643516853263;3516.636612;3516.6328865662
Lc;10.497870075587;;0.251990555699392;3614.24294;3614.23086992995
kapc;0.124997924042087;;0.257541167595122;3691.796106;3691.79417610325
;;;0.263086845133231;3741.767961;3741.76547816808
;;;0.268627429069643;3758.256147;3758.26585822662
;;;0.274162919343727;3737.90731;3737.92481790166
;;;0.279693315932238;3680.42088;3680.43996334185
;;;0.285218141438538;3588.540881;3588.54903251097
;;;0.290737714118951;3467.783898;3467.8004843328
;;;0.296251715733432;3325.572877;3325.60721929225
;;;0.301760146079812;3170.379116;3170.38704430049
;;;0.307262846256027;3010.50305;3010.50132061833
;;;0.312759497624586;2853.425336;2853.44897854312
;;;0.318250418761581;2705.136313;2705.15360429773
;;;0.323735131979021;2569.748622;2569.78295864977
;;;0.329213796545341;2449.7374;2449.76742115994
;;;0.33468609413098;2345.925758;2345.93101873695
;;;0.340152024638723;2257.960628;2257.96842151677
;;;0.345611428963204;2184.683857;2184.69359639341
;;;0.351064466273022;2124.424798;2124.4312499309
;;;0.356510659041201;2075.34243;2075.33910394623
;;;0.361950007193063;2035.614426;2035.60831069827
;;;0.367382670083742;2003.551028;2003.55473231257
;;;0.372808170037641;1977.735908;1977.73104167476
;;;0.378226666207615;1956.950456;1956.94740666666
;;;0.383637840370879;1940.254724;1940.24074266088
;;;0.389041851617939;1926.921876;1926.92007395616
;;;0.394438381522139;1916.453713;1916.43940830073
;;;0.399827271075224;1908.535173;1908.52420041692
;;;0.405208838556983;1902.989022;1902.97016558854
;;;0.410582447296387;1899.844115;1899.82548356578
;;;0.415948415467429;1899.267022;1899.2460251104
;;;0.421306265796524;1901.570578;1901.55669609721
;;;0.426656316507676;1907.265035;1907.24207426848
;;;0.431998090043932;1916.945067;1916.924906896
;;;0.437331745733121;1931.133687;1931.10967327075
;;;0.442656965060687;1950.499945;1950.48290616131
;;;0.447973748046989;1975.15291;1975.14042171897
;;;0.453282094763408;2004.315082;2004.30493841711
;;;0.458581845944739;2036.007018;2036.00795916226
;;;0.463872683337787;2066.999819;2067.00566918114
;;;0.469154925225927;2093.321695;2093.32921169417
;;;0.474428094098678;2111.308673;2111.31008632252
;;;0.479692190051197;2118.750674;2118.74733757374
;;;0.484947212879189;2115.524007;2115.52217933456
;;;0.490193003591772;2103.379108;2103.36094169024
;;;0.49542940294955;2085.062431;2085.04333647625
;;;0.500656570100094;2063.445239;2063.41181679134
;;;0.505874027461083;2040.841305;2040.80578722841
;;;0.511081934351649;2018.815336;2018.77750824696
;;;0.516279972417444;1998.251423;1998.21536836298
;;;0.521468300695842;1979.500867;1979.46614094728
;;;0.526646760090737;1962.576646;1962.53767709203
;;;0.531815032314615;1947.297391;1947.25198415202
;;;0.53697327644932;1933.379139;1933.33733282679
;;;0.542121333299245;1920.514193;1920.46490348838
;;;0.5472588846414;1908.395814;1908.33905192768
;;;0.552386248655115;1896.741439;1896.68252634364
;;;0.557502947960469;1885.325807;1885.25945149052
;;;0.562609141619755;1873.965814;1873.89457230252
;;;0.567704511423778;1862.551238;1862.47395116544
;;;0.572789057209834;1851.013279;1850.93363129261
;;;0.57786277911573;1839.352162;1839.26908090411
;;;0.582925517873812;1827.605592;1827.52078985722
;;;0.587977114358548;1815.847427;1815.76506455162
;;;0.59301756857933;1804.174552;1804.09156556639
;;;0.598046721284598;1792.696406;1792.6130101188
;;;0.603064413302678;1781.512227;1781.43403696669
;;;0.608070644752534;1770.724328;1770.64980391131
;;;0.61306525637554;1760.413909;1760.34299998451
;;;0.618048407317708;1750.641049;1750.57719793529
;;;0.623019620177313;1741.448124;1741.38921866526
;;;0.62797889477568;1732.861903;1732.80512470458
