Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
cno;0;0;0;0;;0.123218778035669;2323.496172;2352.03666381724;-28.5404918172439;-0.0122834253661271
mu;10;nan;nan;nan;;0.134484430330948;2223.154848;2232.37128808934;-9.21644008934254;-0.00414565818374454
beta;1.0900347886658;nan;nan;nan;;0.145739577021515;2149.018653;2144.86976061814;4.14889238186197;0.00193059859023102
a3;3.53139349938337;nan;nan;nan;;0.156983899770614;2095.005817;2081.73346856364;13.2723484363651;0.00633523225981814
da3;0.49125607528655;nan;nan;nan;;0.16821612520082;2057.512424;2038.74864377004;18.7637802299628;0.00911964370717344
a3min;3.04013742409682;nan;nan;nan;;0.179435457365942;2034.737738;2013.18462668688;21.5531113131201;0.0105925746156874
sig3;0.457710555389705;nan;nan;nan;;0.190641259613451;2026.545085;2004.81761188856;21.7274731114437;0.0107214358428368
u3;0;0;0;0;;0.201832417725642;2034.687931;2015.19425693995;19.4936740600519;0.00958067021632712
eta;0.934846682571485;nan;nan;nan;;0.213008294905333;2063.670864;2049.17916487936;14.4916991206437;0.00702229186516427
nu;4;0;0;0;;0.224167936196142;2122.514106;2116.61806519054;5.89604080946356;0.00277785706714335
alpha;0.250510148009113;nan;nan;nan;;0.235310545782136;2231.105184;2236.97894216363;-5.87375816363465;-0.00263266752538488
sig1;0.0620353232650557;nan;nan;nan;;0.24643516853263;2442.572329;2456.6365174869;-14.0641884869028;-0.00575794146192623
lcc;1.4102759015132;nan;nan;nan;;0.257541167595122;2902.700156;2908.66289308512;-5.96273708512081;-0.0020542035913684
q;0;nan;nan;nan;;0.268627429069643;3816.525832;3808.21780222936;8.30802977064332;0.00217685668494208
dan;0;0;0;0;;0.279693315932238;4843.479138;4839.40912167574;4.07001632425636;0.000840308424645548
k;235.896501659937;nan;nan;nan;;0.290737714118951;4835.393812;4834.4536291063;0.940182893701603;0.000194437708748427
const1;5514.62723175088;nan;nan;nan;;0.301760146079812;3755.620778;3750.50089354087;5.11988445912857;0.00136325916852955
const2;-0.60865773065435;nan;nan;nan;;0.312759497624586;2743.170973;2740.94505179602;2.22592120397576;0.000811440929451596
g;0;nan;nan;nan;;0.323735131979021;2200.519499;2202.03696206818;-1.5174630681795;-0.000689593102387454
La;19.9592712699931;nan;nan;nan;;0.33468609413098;1946.544065;1946.92849602334;-0.38443102333531;-0.000197494128310581
lm;15.9674170159945;nan;nan;nan;;0.345611428963204;1818.464814;1816.06818375323;2.39663024677202;0.00131794150116122
kapa;0.25;0;0;0;;0.356510659041201;1746.291038;1742.07166285774;4.21937514225806;0.00241619240461226
Nm;9.17401912671061;nan;nan;nan;;0.367382670083742;1702.347899;1697.59471014815;4.75318885184834;0.00279213717398216
N;10.0914210393817;nan;nan;nan;;0.378226666207615;1674.452391;1670.05981411343;4.39257688657176;0.00262329159681182
Lc;35.636778658013;nan;nan;nan;;0.389041851617939;1656.747308;1653.23811617735;3.50919182264897;0.00211812133673253
kapc;0.1;nan;nan;nan;;0.399827271075224;1646.365637;1644.10261806643;2.26301893357436;0.0013745542804805
0.410582447296387;1641.74053154229;;;;;0.410582447296387;1642.305081;1641.74053154229;0.564549457707699;0.000343754314736665
0.421306265796524;1647.33759519234;;;;;0.421306265796524;1645.387648;1647.33759519234;-1.94994719234433;-0.00118509896115637
