Parameter;Value;;s;iObs(s);Fit
cno;0;;0.123218778035669;2323.496172;2352.03666381724
mu;10;;0.134484430330948;2223.154848;2232.37128808934
beta;1.0900347886658;;0.145739577021515;2149.018653;2144.86976061814
a3;3.53139349938337;;0.156983899770614;2095.005817;2081.73346856364
da3;0.49125607528655;;0.16821612520082;2057.512424;2038.74864377004
a3min;3.04013742409682;;0.179435457365942;2034.737738;2013.18462668688
sig3;0.457710555389705;;0.190641259613451;2026.545085;2004.81761188856
u3;0;;0.201832417725642;2034.687931;2015.19425693995
eta;0.934846682571485;;0.213008294905333;2063.670864;2049.17916487936
nu;4;;0.224167936196142;2122.514106;2116.61806519054
alpha;0.250510148009113;;0.235310545782136;2231.105184;2236.97894216363
sig1;0.0620353232650557;;0.24643516853263;2442.572329;2456.6365174869
lcc;1.4102759015132;;0.257541167595122;2902.700156;2908.66289308512
q;0;;0.268627429069643;3816.525832;3808.21780222936
dan;0;;0.279693315932238;4843.479138;4839.40912167574
k;235.896501659937;;0.290737714118951;4835.393812;4834.4536291063
const1;5514.62723175088;;0.301760146079812;3755.620778;3750.50089354087
const2;-0.60865773065435;;0.312759497624586;2743.170973;2740.94505179602
g;0;;0.323735131979021;2200.519499;2202.03696206818
La;19.9592712699931;;0.33468609413098;1946.544065;1946.92849602334
lm;15.9674170159945;;0.345611428963204;1818.464814;1816.06818375323
kapa;0.25;;0.356510659041201;1746.291038;1742.07166285774
Nm;9.17401912671061;;0.367382670083742;1702.347899;1697.59471014815
N;10.0914210393817;;0.378226666207615;1674.452391;1670.05981411343
Lc;35.636778658013;;0.389041851617939;1656.747308;1653.23811617735
kapc;0.1;;0.399827271075224;1646.365637;1644.10261806643
;;;0.410582447296387;1642.305081;1641.74053154229
;;;0.421306265796524;1645.387648;1647.33759519234
;;;0.431998090043932;1659.567597;1665.90744423998
;;;0.442656965060687;1696.304884;1709.8057701043
;;;0.453282094763408;1781.196039;1800.12688926485
;;;0.463872683337787;1933.917313;1941.56207197908
;;;0.474428094098678;2074.537986;2065.36388204525
;;;0.484947212879189;2080.128151;2082.34527764118
;;;0.49542940294955;1999.09064;2016.25046610881
;;;0.505874027461083;1918.105783;1937.20800540815
;;;0.516279972417444;1858.670057;1874.28014880771
;;;0.526646760090737;1817.269178;1828.95661496364
;;;0.53697327644932;1788.822487;1797.18241567564
;;;0.5472588846414;1769.874121;1775.63732481056
;;;0.557502947960469;1757.633503;1761.9212587678
;;;0.567704511423778;1748.761899;1753.41769719776
;;;0.57786277911573;1738.989238;1746.12548123477
;;;0.587977114358548;1724.582559;1734.99583685748
;;;0.598046721284598;1704.637626;1716.81122531823
;;;0.608070644752534;1681.517709;1692.70878783702
;;;0.618048407317708;1658.723779;1666.90782092732
;;;0.62797889477568;1638.670575;1643.26740005634
;;;0.637861788686287;1622.149424;1623.46153481801
;;;0.64769597497312;1608.920664;1607.49009971062
;;;0.657480816747517;1598.394794;1594.6874758361
;;;0.667215677383437;1589.992557;1584.32088378234
;;;0.676899760995567;1583.252597;1575.81390060025
;;;0.686532112510113;1577.829976;1568.74951477111
;;;0.696112413648854;1573.499072;1562.84395744638
;;;0.705639550199084;1570.109812;1557.91623410181
;;;0.715112885305435;1567.576312;1553.85555168467
;;;0.724531941532995;1565.875008;1550.62185325234
;;;0.733895763906016;1565.049443;1548.22916897422
;;;0.743203715600856;1565.227155;1546.80472009833
;;;0.752455000839011;1566.668144;1546.59984005506
;;;0.761648982764575;1569.861239;1548.13324457582
;;;0.770785024924846;1575.708189;1552.42186072829
;;;0.779862331143755;1585.858478;1561.45202879178
