Parameter;Value;;s;iObs(s);Fit
cno;0;;0.113071811873974;2443.71966;1942.61403906287
mu;8.2;;0.114199570884326;2428.658539;1938.45448048285
beta;0.9;;0.115327329955705;2413.916295;1934.71244643286
a3;3.47;;0.1164549298039;2399.783738;1930.7309661299
da3;0.8;;0.117582529670113;2386.137127;1927.19269234449
a3min;2.67;;0.118709970294594;2372.714993;1923.63298589708
sig3;0.35;;0.119837251849672;2359.908939;1920.01326720638
u3;0;;0.120964533425294;2347.264677;1916.6565057086
eta;1;;0.122091814929347;2335.058168;1913.58954963256
nu;4;;0.123218778035669;2323.496172;1910.44494826229
alpha;0.18;;0.124345741275647;2311.962323;1907.54928118606
sig1;0.08;;0.125472704443296;2300.878059;1904.55289879049
lcc;1.412;;0.126599508368285;2290.148697;1901.84425122568
q;0;;0.127726153222398;2279.723219;1899.10595404841
dan;0;;0.128852798001098;2269.511817;1896.43853715029
k;800;;0.129979283686833;2259.596043;1893.94468160867
const1;1900;;0.131105769246878;2250.226927;1891.47071078135
const2;-0.1;;0.132232095803505;2240.88223;1889.04390209165
g;0.2;;0.133358263077514;2231.861513;1886.85996414022
La;27.7777777777778;;0.134484430330948;2223.154848;1884.7027853293
lm;22.2222222222222;;0.135610279313921;2214.700684;1882.50561708352
kapa;0.25;;0.136736287425988;2206.503573;1880.50176932577
Nm;9.11111111111111;;0.137861977159211;2198.560802;1878.47201280677
N;10.2222222222222;;0.138987666905207;2190.772433;1876.67782549135
Lc;35.4711111111111;;0.140113356677289;2183.406118;1874.82516817076
kapc;0.121951219512195;;0.141238887261257;2176.048783;1873.1120597565
;;;0.142364258714782;2169.040428;1871.38299157079
;;;0.143489470870494;2162.15777;1869.75781832181
;;;0.14461452401106;2155.473538;1868.10283647446
;;;0.145739577021515;2149.018653;1866.58449203227
;;;0.146864630024656;2142.783254;1865.22005859615
;;;0.14798936476348;2136.81511;1863.87421642578
;;;0.149114099464821;2130.871719;1862.59308957988
;;;0.150238675036261;2125.280455;1861.32837225203
;;;0.151363250506901;2119.765717;1860.17757890712
;;;0.152487507747257;2114.545776;1859.02870259375
;;;0.153611764966984;2109.354807;1858.00789381369
;;;0.154735862912521;2104.347487;1857.02395032237
;;;0.155859960883342;2099.695802;1856.05362995543
;;;0.156983899770614;2095.005817;1855.2487558383
;;;0.15810767940509;2090.602539;1854.38388746268
;;;0.159231299842196;2086.333636;1853.6227097201
;;;0.16035476113724;2082.215521;1852.95846092095
;;;0.161478222503194;2078.189316;1852.28950840421
;;;0.162601524577739;2074.371423;1851.69503749488
;;;0.163724667527806;2070.696054;1851.17003487426
;;;0.164847651407849;2067.153006;1850.66798792296
;;;0.165970635134742;2063.776646;1850.32076669968
;;;0.167093459751923;2060.596238;1849.95504781898
;;;0.16821612520082;2057.512424;1849.65867905591
;;;0.169338631422745;2054.620952;1849.39328891712
;;;0.170460978471111;2051.865345;1849.16796269938
;;;0.171583325507391;2049.193519;1849.1116841979
;;;0.172705354237383;2046.685626;1849.05790181458
;;;0.173827383023807;2044.300293;1849.0145753975
;;;0.174949252586402;2042.107008;1849.13455316629
;;;0.176071122122647;2040.076691;1849.20866232418
;;;0.177192673262706;2038.130563;1849.46271266361
;;;0.178314224441764;2036.368433;1849.76138405311
;;;0.179435457365942;2034.737738;1850.12953820233
;;;0.180556690168913;2033.222004;1850.44274749216
;;;0.181677763794497;2031.895387;1850.97353843836
;;;0.182798678293267;2030.725324;1851.51173406235
;;;0.183919433603499;2029.655387;1852.16944609301
;;;0.185040188988585;2028.791426;1852.84467813065
;;;0.186160625939746;2027.957131;1853.57786728214
;;;0.187281062912837;2027.38364;1854.46624946604
;;;0.188401181478974;2026.975501;1855.34860857363
;;;0.189521300124669;2026.679479;1856.41043274965
;;;0.190641259613451;2026.545085;1857.53020636768
;;;0.191761059881593;2026.61235;1858.72672370757
;;;0.192880700977079;2026.831089;1859.97104206758
;;;0.19400018283567;2027.16231;1861.36331855736
;;;0.195119505616708;2027.68143;1862.8415410571
;;;0.196238669143473;2028.378336;1864.43655604383
;;;0.197357832672223;2029.274644;1866.1187174211
;;;0.198476677921099;2030.358165;1867.89104253228
;;;0.199595363943287;2031.581858;1869.78755003956
;;;0.200714050041235;2033.032711;1871.83534639944
;;;0.201832417725642;2034.687931;1874.01214477482
;;;0.20295078530911;2036.539996;1876.22664932483
;;;0.204068993915104;2038.625116;1878.65966464861
;;;0.205186883972162;2040.921698;1881.15699559278
;;;0.206304774218782;2043.420738;1883.77993086069
;;;0.207422345937024;2046.145862;1886.64812069329
;;;0.208539917775336;2049.152977;1889.61130373388
;;;0.209657330406859;2052.386978;1892.79296027981
;;;0.210774424706643;2055.897462;1896.10051222324
;;;0.211891518962768;2059.636976;1899.6018127063
;;;0.213008294905333;2063.670864;1903.26305426654
;;;0.214125070841599;2068.026013;1907.1123319681
;;;0.215241687556364;2072.648611;1911.20504951333
;;;0.216357986038655;2077.608625;1915.52918116628
;;;0.217474284455093;2082.883443;1920.04613972219
;;;0.218590264431402;2088.504505;1924.78223458686
;;;0.21970608528195;2094.498491;1929.78856307034
;;;0.220821906225636;2100.896532;1935.08113083966
;;;0.221937408694718;2107.652936;1940.59690434679
;;;0.223052752042751;2114.893638;1946.46128496106
;;;0.224167936196142;2122.514106;1952.57187662778
;;;0.225283120386583;2130.657525;1959.09224431818
;;;0.226397986238133;2139.282517;1965.91320585344
;;;0.227512692894535;2148.471107;1973.13300065875
;;;0.228627081160329;2158.217604;1980.72177286953
;;;0.229741469447832;2168.547318;1988.71379322539
;;;0.230855698647227;2179.574074;1997.22265509322
;;;0.23196960941402;2191.258911;2006.13844714074
;;;0.233083520120517;2203.75148;2015.58630942836
;;;0.234197112513238;2216.976516;2025.59472052969
;;;0.235310545782136;2231.105184;2036.18087212824
;;;0.236423819848958;2246.214199;2047.41518446264
;;;0.237536934746281;2262.329446;2059.29502861656
;;;0.238649890506147;2279.629997;2071.9110907482
;;;0.239762687048807;2298.107885;2085.37794332819
;;;0.240875165232284;2317.934085;2099.73052659324
;;;0.241987643348108;2339.305984;2114.95263282039
;;;0.243099803218011;2362.260924;2131.2739051327
;;;0.244211803822324;2386.994548;2148.79073328795
;;;0.245323645301443;2413.715937;2167.59928739696
;;;0.24643516853263;2442.572329;2187.79908231869
;;;0.247546691651295;2473.801233;2209.62788486567
;;;0.24865789640948;2507.570643;2233.22306254012
;;;0.249769101167092;2544.241355;2258.7840151208
;;;0.250879828407113;2583.964268;2286.58551481554
;;;0.251990555699392;2627.101294;2316.88356725969
;;;0.253101123777158;2673.791691;2349.97286936225
;;;0.254211373483112;2724.479319;2386.1419386689
;;;0.255321464079462;2779.360855;2425.83227229189
;;;0.25643139547929;2838.662898;2469.39232337695
;;;0.257541167595122;2902.700156;2517.27136290639
;;;0.258650621490567;2971.676593;2569.87698020459
;;;0.259759916203732;3045.714338;2627.75651442921
;;;0.260869051645682;3124.999215;2691.25024642668
;;;0.261978027948639;3209.530718;2760.91269554184
;;;0.263086845133231;3299.290695;2837.09337843775
;;;0.264195343959488;3394.107341;2920.21567053683
;;;0.265303683542955;3493.732745;3010.46691715196
;;;0.266411704811648;3597.730169;3108.09423701464
;;;0.267519726106061;3705.553;3213.06430619922
;;;0.268627429069643;3816.525832;3325.25627349618
;;;0.269734972810885;3929.766521;3444.25064926114
;;;0.270842198151545;4044.26366;3569.38629415971
;;;0.271949423527267;4158.82933;3699.83966167907
;;;0.273056171458001;4272.168304;3834.34962003125
;;;0.274162919343727;4382.926962;3971.46561096201
;;;0.275269348847514;4489.517049;4109.4030841901
;;;0.276375619118697;4590.421126;4246.13208423884
;;;0.277481730281062;4684.073925;4379.40526123093
;;;0.278587523141543;4768.905554;4506.79930576085
;;;0.279693315932238;4843.479138;4625.83950688411
;;;0.280798631250504;4906.440811;4733.95545029882
;;;0.281903946520918;4956.628789;4828.79074405941
;;;0.2830089434962;4993.046526;4908.09953900442
;;;0.284113622057803;5014.955992;4969.96508530714
;;;0.285218141438538;5021.917102;5012.8259285504
;;;0.28632250164668;5013.73389;5035.51031281156
;;;0.287426702689712;4990.468238;5037.44152525375
;;;0.288530585428026;4952.519456;5018.53856584347
;;;0.289634308966938;4900.528863;4979.21854987727
;;;0.290737714118951;4835.393812;4920.42084849005
;;;0.291840960145752;4758.250315;4843.49343301537
