Parameter;Value;;s;iObs(s);Fit
cno;0;;0.117582529670113;3664.092589;3804.09200635219
mu;3.75328341443267;;0.123218778035669;3526.837888;3653.30899400753
beta;0.802983819595323;;0.128852798001098;3409.460862;3522.7644310151
a3;3.96272169906515;;0.134484430330948;3308.058094;3409.42139404993
da3;0.570918105790405;;0.140113356677289;3219.749635;3310.64652435006
a3min;3.39180359327475;;0.145739577021515;3136.256505;3224.49004219704
sig3;1;;0.151363250506901;3057.610466;3149.28685394675
u3;0;;0.156983899770614;2989.857498;3083.80412821345
eta;0.795955927780897;;0.162601524577739;2932.231751;3027.00457961856
nu;4;;0.16821612520082;2884.438532;2978.29131189584
alpha;0.204727794080474;;0.173827383023807;2846.501085;2937.08748511651
sig1;0.226333665231009;;0.179435457365942;2818.772822;2903.13605442052
lcc;1.412;;0.185040188988585;2802.122263;2876.3562258618
q;0;;0.190641259613451;2797.52955;2856.97166027906
dan;0;;0.196238669143473;2806.243748;2845.31789692416
k;561.052095601867;;0.201832417725642;2829.532828;2842.10820790039
const1;1603.20608352665;;0.207422345937024;2868.646845;2848.39395429794
const2;0;;0.213008294905333;2924.228333;2865.58996656902
g;0;;0.218590264431402;2996.336874;2895.4418465011
La;24.4226731522082;;0.224167936196142;3083.893799;2939.96426720294
lm;19.5381385217665;;0.229741469447832;3184.545011;3001.10497591952
kapa;0.25;;0.235310545782136;3294.193596;3080.01246613357
Nm;4.67417066551129;;0.240875165232284;3407.282674;3175.89597289832
N;5.91952577179969;;0.24643516853263;3516.636612;3284.11827733178
Lc;23.4574332240861;;0.251990555699392;3614.24294;3394.35548524936
kapc;0.266433383675385;;0.257541167595122;3691.796106;3489.86574143916
;;;0.263086845133231;3741.767961;3549.40115162242
;;;0.268627429069643;3758.256147;3553.3405140542
;;;0.274162919343727;3737.90731;3491.51939717123
;;;0.279693315932238;3680.42088;3368.67216987166
;;;0.285218141438538;3588.540881;3203.01963831234
;;;0.290737714118951;3467.783898;3018.99037771538
;;;0.296251715733432;3325.572877;2838.52330878259
;;;0.301760146079812;3170.379116;2676.13878169546
;;;0.307262846256027;3010.50305;2538.22775838118
;;;0.312759497624586;2853.425336;2425.32689146324
;;;0.318250418761581;2705.136313;2334.73260776691
;;;0.323735131979021;2569.748622;2262.59194324442
;;;0.329213796545341;2449.7374;2205.0771139653
;;;0.33468609413098;2345.925758;2158.90985815749
;;;0.340152024638723;2257.960628;2121.46674244556
;;;0.345611428963204;2184.683857;2090.72659479079
;;;0.351064466273022;2124.424798;2065.18883487705
;;;0.356510659041201;2075.34243;2043.73906616216
;;;0.361950007193063;2035.614426;2025.53968713219
;;;0.367382670083742;2003.551028;2009.97394668907
;;;0.372808170037641;1977.735908;1996.60869688528
;;;0.378226666207615;1956.950456;1985.09041053656
;;;0.383637840370879;1940.254724;1975.19813812088
;;;0.389041851617939;1926.921876;1966.76968862382
;;;0.394438381522139;1916.453713;1959.70345931604
;;;0.399827271075224;1908.535173;1953.9694752888
;;;0.405208838556983;1902.989022;1949.56529715018
;;;0.410582447296387;1899.844115;1946.57191536798
;;;0.415948415467429;1899.267022;1945.11087934485
;;;0.421306265796524;1901.570578;1945.38950047179
;;;0.426656316507676;1907.265035;1947.69588445958
;;;0.431998090043932;1916.945067;1952.36672446526
;;;0.437331745733121;1931.133687;1959.78202015323
;;;0.442656965060687;1950.499945;1970.27773958834
;;;0.447973748046989;1975.15291;1983.97956477171
;;;0.453282094763408;2004.315082;2000.53381843268
;;;0.458581845944739;2036.007018;2018.82434666336
;;;0.463872683337787;2066.999819;2036.87473483307
;;;0.469154925225927;2093.321695;2052.08353465796
;;;0.474428094098678;2111.308673;2061.9878312154
;;;0.479692190051197;2118.750674;2065.09556992473
;;;0.484947212879189;2115.524007;2061.38834686942
;;;0.490193003591772;2103.379108;2052.13051176123
;;;0.49542940294955;2085.062431;2039.21180116614
;;;0.500656570100094;2063.445239;2024.49356878908
;;;0.505874027461083;2040.841305;2009.43581644367
;;;0.511081934351649;2018.815336;1995.00076757848
;;;0.516279972417444;1998.251423;1981.73154193338
;;;0.521468300695842;1979.500867;1969.86035387735
;;;0.526646760090737;1962.576646;1959.42368269581
;;;0.531815032314615;1947.297391;1950.30155117158
;;;0.53697327644932;1933.379139;1942.25798912408
;;;0.542121333299245;1920.514193;1934.95586676784
;;;0.5472588846414;1908.395814;1927.98188357921
;;;0.552386248655115;1896.741439;1920.87639618624
;;;0.557502947960469;1885.325807;1913.21046905143
;;;0.562609141619755;1873.965814;1904.66478637205
;;;0.567704511423778;1862.551238;1895.09354560366
;;;0.572789057209834;1851.013279;1884.57022726874
;;;0.57786277911573;1839.352162;1873.34987664357
;;;0.582925517873812;1827.605592;1861.80417677149
;;;0.587977114358548;1815.847427;1850.32978674559
;;;0.59301756857933;1804.174552;1839.26744238889
;;;0.598046721284598;1792.696406;1828.86087965294
;;;0.603064413302678;1781.512227;1819.25186208959
;;;0.608070644752534;1770.724328;1810.48929256111
;;;0.61306525637554;1760.413909;1802.55961983054
;;;0.618048407317708;1750.641049;1795.40763101846
;;;0.623019620177313;1741.448124;1788.96132413688
;;;0.62797889477568;1732.861903;1783.14247042406
;;;0.632926390447786;1724.879549;1777.87605524833
;;;0.637861788686287;1717.492461;1773.09688120134
;;;0.642784930523563;1710.682127;1768.74117328469
;;;0.64769597497312;1704.419917;1764.76348847744
;;;0.652594603676149;1698.672893;1761.12086165825
;;;0.657480816747517;1693.402794;1757.77679209838
;;;0.662354614078564;1688.575228;1754.7035850314
;;;0.667215677383437;1684.157087;1751.87809541428
;;;0.672064165786292;1680.115467;1749.2801614522
;;;0.676899760995567;1676.421534;1746.8949757323
;;;0.68172246295884;1673.050632;1744.70979228114
;;;0.686532112510113;1669.98159;1742.71269718326
;;;0.691328868897289;1667.197023;1740.89774964154
;;;0.696112413648854;1664.683193;1739.25775228854
;;;0.700882587730433;1662.428906;1737.78890136227
;;;0.705639550199084;1660.43142;1736.48715055805
;;;0.710382982735262;1658.683127;1735.3533167464
;;;0.715112885305435;1657.189909;1734.38538921987
;;;0.719829257955474;1655.953164;1733.5852394214
;;;0.724531941532995;1654.982935;1732.95438823947
;;;0.729220776915018;1654.291719;1732.49541492328
;;;0.733895763906016;1653.899947;1732.21369969653
;;;0.738556743496573;1653.828314;1732.11137787424
;;;0.743203715600856;1654.105593;1732.19444194124
;;;0.747836361970102;1654.765575;1732.46706115803
;;;0.752455000839011;1655.849361;1732.93306971139
;;;0.757059154692793;1657.401204;1733.59628193827
;;;0.761648982764575;1659.470837;1734.4570266634
;;;0.766224325965976;1662.109309;1735.51344705136
;;;0.770785024924846;1665.361544;1736.75922603431
;;;0.775331079662131;1669.269059;1738.18455829658
;;;0.779862331143755;1673.849945;1739.77066229928
;;;0.784378779344214;1679.093406;1741.492135397
;;;0.788880264957231;1684.94652;1743.31565834226
;;;0.793366628946414;1691.297276;1745.19966973237
;;;0.797838030332872;1697.973309;1747.09476751783
;;;0.802294150994992;1704.736071;1748.94560386221
;;;0.806735149908622;1711.296903;1750.69478726576
;;;0.811160708774231;1717.339844;1752.28373701539
;;;0.815570827610731;1722.556641;1753.66071895081
;;;0.819965347228773;1726.688452;1754.7794803603
;;;0.824344267744193;1729.557888;1755.60526307605
;;;0.82870758890281;1731.085347;1756.11377773779
;;;0.833055151783865;1731.294173;1756.29221687353
;;;0.837386637873353;1730.294727;1756.13879550453
;;;0.841702365614105;1728.261661;1755.65839334998
;;;0.84600201658557;1725.39574;1754.86444683167
;;;0.85028559086481;1721.909099;1753.77552323955
;;;0.854552929195541;1717.99471;1752.41579687169
;;;0.858804031695197;1713.822963;1750.8154713499
;;;0.863038898220686;1709.532261;1749.00920646316
;;;0.867257210470883;1705.229979;1747.03775437051
;;;0.871458968516475;1700.996206;1744.94376497545
;;;0.875644172252595;1696.889384;1742.77125536445
;;;0.879812662572537;1692.94899;1740.56230467695
;;;0.883964598600232;1689.202919;1738.35545911407
;;;0.888099502801337;1685.666202;1736.18301491388
;;;0.892217534454628;1682.349341;1734.07077109931
;;;0.896318693551932;1679.256167;1732.03774316644
;;;0.900402661603631;1676.38686;1730.09646843507
;;;0.904469438735102;1673.738851;1728.25412193738
;;;0.908519184013312;1671.304327;1726.51291943936
;;;0.912551420024611;1669.073852;1724.87223275945
;;;0.91656646509979;1667.033332;1723.32845022915
;;;0.92056400076583;1665.166769;1721.87663614563
;;;0.924544027200542;1663.4527;1720.51000694885
;;;0.928506385159294;1661.867743;1719.22205346429
;;;0.932451074611752;1660.385654;1718.0055572261
;;;0.936378095538437;1658.980923;1716.85357627749
;;;0.940287129647342;1657.625996;1715.75954218827
;;;0.944178495214498;1656.297829;1714.71703333323
;;;0.94805171483683;1654.976397;1713.721107556
;;;0.951906947588408;1653.646096;1712.76649656412
;;;0.95574403428099;1652.298556;1711.84947110484
;;;0.959562975053257;1650.928412;1710.96683609852
;;;0.963363451354479;1649.53659;1710.11585965398
;;;0.967145781685408;1648.128063;1709.29467019764
;;;0.970909647702629;1646.711078;1708.50202060945
;;;0.974655049262042;1645.2936;1707.7368019989
;;;0.978381827290003;1643.885824;1706.998486942
;;;0.982090140973212;1642.4979;1706.28731000687
;;;0.985779671944263;1641.137755;1705.60293885725
;;;0.989450261059108;1639.813148;1704.94556487504
;;;0.993102226587595;1638.530648;1704.31509600104
;;;0.996735250306225;1637.294389;1703.71202634829
;;;1.00034917276116;1636.108752;1703.13655589479
;;;1.00394415355946;1634.975362;1702.58895916132
;;;1.00752003325343;1633.896891;1702.06941738713
;;;1.01107681139717;1632.872135;1701.57762206145
;;;1.01461417044282;1631.902625;1701.11423818986
;;;1.0181322693218;1630.987559;1700.67856458091
;;;1.02163094918845;1630.125754;1700.27087715822
;;;1.02511020896693;1629.316676;1699.8909593605
;;;1.02857004924314;1628.55895;1699.5385570145
;;;1.03201015257821;1627.851301;1699.21351552467
;;;1.03543067676919;1627.191733;1698.91564587752
