Parameter;Value;;s;iObs(s);Fit
cno;0;;0.117582529670113;3664.092589;3873.62130906281
mu;3.75328341443267;;0.123218778035669;3526.837888;3717.19828580632
beta;0.802983819595323;;0.128852798001098;3409.460862;3581.86467513172
a3;3.96272169906515;;0.134484430330948;3308.058094;3464.28747714004
da3;0.570918105790405;;0.140113356677289;3219.749635;3362.01781809447
a3min;3.39180359327475;;0.145739577021515;3136.256505;3272.68835592205
sig3;1;;0.151363250506901;3057.610466;3194.76084442346
u3;0;;0.156983899770614;2989.857498;3126.88530326437
eta;0.795955927780897;;0.162601524577739;2932.231751;3068.0891747317
nu;4;;0.16821612520082;2884.438532;3017.62351897646
alpha;0.204727794080474;;0.173827383023807;2846.501085;2975.01308151437
sig1;0.226333665231009;;0.179435457365942;2818.772822;2939.89745816606
lcc;1.38614784556666;;0.185040188988585;2802.122263;2912.22200740272
q;0;;0.190641259613451;2797.52955;2892.22095471974
dan;0;;0.196238669143473;2806.243748;2880.2166241715
k;561.052095606112;;0.201832417725642;2829.532828;2876.98689589074
const1;1603.20608352399;;0.207422345937024;2868.646845;2883.66304456954
const2;0;;0.213008294905333;2924.228333;2901.63163029998
g;0;;0.218590264431402;2996.336874;2932.7056375124
La;24.4226731522082;;0.224167936196142;3083.893799;2979.03047541288
lm;19.5381385217665;;0.229741469447832;3184.545011;3042.5824352564
kapa;0.25;;0.235310545782136;3294.193596;3124.577782217
Nm;4.67417066551129;;0.240875165232284;3407.282674;3224.14548015327
N;5.91952577179969;;0.24643516853263;3516.636612;3336.5480988784
Lc;23.4574332240861;;0.251990555699392;3614.24294;3451.03197274262
kapc;0.266433383675385;;0.257541167595122;3691.796106;3550.2047018883
;;;0.263086845133231;3741.767961;3612.10134139244
;;;0.268627429069643;3758.256147;3616.27155081017
;;;0.274162919343727;3737.90731;3552.21527899306
;;;0.279693315932238;3680.42088;3424.79961635951
;;;0.285218141438538;3588.540881;3252.98996675564
;;;0.290737714118951;3467.783898;3062.09130079408
;;;0.296251715733432;3325.572877;2874.88798208284
;;;0.301760146079812;3170.379116;2706.41899352655
;;;0.307262846256027;3010.50305;2563.35865461612
;;;0.312759497624586;2853.425336;2446.23273776511
;;;0.318250418761581;2705.136313;2352.23282121739
;;;0.323735131979021;2569.748622;2277.38251316543
;;;0.329213796545341;2449.7374;2217.68518482211
;;;0.33468609413098;2345.925758;2169.74113182391
;;;0.340152024638723;2257.960628;2130.82745143931
;;;0.345611428963204;2184.683857;2098.85649873228
;;;0.351064466273022;2124.424798;2072.25728197854
;;;0.356510659041201;2075.34243;2049.84824222108
;;;0.361950007193063;2035.614426;2030.78143543666
;;;0.367382670083742;2003.551028;2014.40088334733
;;;0.372808170037641;1977.735908;2000.24522966769
;;;0.378226666207615;1956.950456;1987.93643953078
;;;0.383637840370879;1940.254724;1977.23041501442
;;;0.389041851617939;1926.921876;1967.93862828029
;;;0.394438381522139;1916.453713;1959.92693483532
;;;0.399827271075224;1908.535173;1953.11247744876
;;;0.405208838556983;1902.989022;1947.473649601
;;;0.410582447296387;1899.844115;1943.00581168742
;;;0.415948415467429;1899.267022;1939.77252889726
;;;0.421306265796524;1901.570578;1937.86701623659
;;;0.426656316507676;1907.265035;1937.45778976648
;;;0.431998090043932;1916.945067;1938.75215838765
;;;0.437331745733121;1931.133687;1942.03338301479
;;;0.442656965060687;1950.499945;1947.62397288407
;;;0.447973748046989;1975.15291;1955.85243817091
;;;0.453282094763408;2004.315082;1966.93693727243
;;;0.458581845944739;2036.007018;1980.81510199922
;;;0.463872683337787;2066.999819;1996.90995511403
;;;0.469154925225927;2093.321695;2013.93249984386
;;;0.474428094098678;2111.308673;2029.89708905753
;;;0.479692190051197;2118.750674;2042.49742042425
;;;0.484947212879189;2115.524007;2049.81576358431
;;;0.490193003591772;2103.379108;2050.96967953515
;;;0.49542940294955;2085.062431;2046.34218005871
;;;0.500656570100094;2063.445239;2037.2609557729
;;;0.505874027461083;2040.841305;2025.42442606603
;;;0.511081934351649;2018.815336;2012.40147716183
;;;0.516279972417444;1998.251423;1999.36613893885
;;;0.521468300695842;1979.500867;1987.05472064716
;;;0.526646760090737;1962.576646;1975.84413015071
;;;0.531815032314615;1947.297391;1965.81899859273
;;;0.53697327644932;1933.379139;1956.85767222198
;;;0.542121333299245;1920.514193;1948.67743757912
;;;0.5472588846414;1908.395814;1940.87228382508
;;;0.552386248655115;1896.741439;1932.98375149396
;;;0.557502947960469;1885.325807;1924.56629946846
;;;0.562609141619755;1873.965814;1915.28737045489
;;;0.567704511423778;1862.551238;1904.99469028868
;;;0.572789057209834;1851.013279;1893.75059952155
;;;0.57786277911573;1839.352162;1881.8217480183
;;;0.582925517873812;1827.605592;1869.58690275309
;;;0.587977114358548;1815.847427;1857.45245342351
;;;0.59301756857933;1804.174552;1845.76786217842
;;;0.598046721284598;1792.696406;1834.78364928551
;;;0.603064413302678;1781.512227;1824.64282279665
;;;0.608070644752534;1770.724328;1815.39579164104
;;;0.61306525637554;1760.413909;1807.02214370847
;;;0.618048407317708;1750.641049;1799.46501850902
;;;0.623019620177313;1741.448124;1792.64804650096
;;;0.62797889477568;1732.861903;1786.48751979034
;;;0.632926390447786;1724.879549;1780.90389259369
;;;0.637861788686287;1717.492461;1775.82582864994
;;;0.642784930523563;1710.682127;1771.19154142129
;;;0.64769597497312;1704.419917;1766.9474154804
;;;0.652594603676149;1698.672893;1763.04923581274
;;;0.657480816747517;1693.402794;1759.45862366378
;;;0.662354614078564;1688.575228;1756.14610347584
;;;0.667215677383437;1684.157087;1753.08402956138
;;;0.672064165786292;1680.115467;1750.25264404448
;;;0.676899760995567;1676.421534;1747.63308227622
;;;0.68172246295884;1673.050632;1745.21232364964
;;;0.686532112510113;1669.98159;1742.97597159091
;;;0.691328868897289;1667.197023;1740.91551732097
;;;0.696112413648854;1664.683193;1739.02445159683
;;;0.700882587730433;1662.428906;1737.29338525917
;;;0.705639550199084;1660.43142;1735.71960279674
;;;0.710382982735262;1658.683127;1734.29874629678
;;;0.715112885305435;1657.189909;1733.02793294658
;;;0.719829257955474;1655.953164;1731.90800711994
;;;0.724531941532995;1654.982935;1730.93648583889
;;;0.729220776915018;1654.291719;1730.11481325589
;;;0.733895763906016;1653.899947;1729.4436210939
;;;0.738556743496573;1653.828314;1728.92605513024
;;;0.743203715600856;1654.105593;1728.56383877113
;;;0.747836361970102;1654.765575;1728.36205239277
;;;0.752455000839011;1655.849361;1728.32338344632
;;;0.757059154692793;1657.401204;1728.45185126643
;;;0.761648982764575;1659.470837;1728.75160937897
;;;0.766224325965976;1662.109309;1729.22675217132
;;;0.770785024924846;1665.361544;1729.87843968136
;;;0.775331079662131;1669.269059;1730.70956834334
;;;0.779862331143755;1673.849945;1731.71692375648
;;;0.784378779344214;1679.093406;1732.89719035357
;;;0.788880264957231;1684.94652;1734.24088011247
;;;0.793366628946414;1691.297276;1735.73356794635
;;;0.797838030332872;1697.973309;1737.35602233525
;;;0.802294150994992;1704.736071;1739.08127994481
;;;0.806735149908622;1711.296903;1740.87595952866
