Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
cno;0;0;0;0;;0.113071811873974;3791.754764;3791.71845611149;0.036307888511601;9.57548437897896e-06
mu;8.00082449322449;10;20;30;;0.114199570884326;3758.087945;3758.0588902011;0.0290547988993239;7.73127167978607e-06
beta;3.0004232952989;10;20;30;;0.115327329955705;3725.681654;3725.6858844598;-0.0042304597986913;-1.13548611813072e-06
a3;3.49941850908507;10;20;30;;0.1164549298039;3694.406898;3694.36603238761;0.0408656123881883;1.10614811839788e-05
da3;0.603838110161197;10;20;30;;0.117582529670113;3664.092589;3664.11491384099;-0.0223248409929511;-6.09287032210175e-06
a3min;2.89558039892387;20;40;60;;0.118709970294594;3634.879179;3634.82396497738;0.0552140226182019;1.51900571928754e-05
sig3;0.299905921733395;10;20;30;;0.119837251849672;3606.431432;3606.50189106631;-0.0704590663085582;-1.95370597326133e-05
u3;0;0;0;0;;0.120964533425294;3579.011833;3578.96602498642;0.0458080135808814;1.27990673734331e-05
eta;0.870045113670899;10;20;30;;0.122091814929347;3552.586397;3552.53120773126;0.0551892687367399;1.55349546976098e-05
nu;4;0;0;0;;0.123218778035669;3526.837888;3526.84756557758;-0.00967757757734944;-2.7439814033634e-06
alpha;0.299969187601588;10;20;30;;0.124345741275647;3501.915922;3501.93980757659;-0.0238855765910557;-6.82071675136458e-06
sig1;0.149988649347101;10;20;30;;0.125472704443296;3477.733824;3477.74057729321;-0.00675329320984019;-1.94186604024592e-06
lcc;1.41182823418299;10;20;30;;0.126599508368285;3454.252156;3454.34385226646;-0.0916962664609855;-2.65459098872414e-05
q;0;10;20;30;;0.127726153222398;3431.589196;3431.50148325881;0.0877127411890797;2.55603850517193e-05
dan;0;0;0;0;;0.128852798001098;3409.460862;3409.40415589962;0.0567061003816889;1.66319845503154e-05
k;922.827592484644;10;20;30;;0.129979283686833;3388.048712;3387.97215805935;0.0765539406488642;2.25952892524009e-05
const1;1774.3062589107;10;20;30;;0.131105769246878;3367.23972;3367.20391242643;0.0358075735698549;1.06341028698292e-05
const2;-0.072941;10;20;30;;0.132232095803505;3346.924067;3346.85787294682;0.0661940531776963;1.97775784130738e-05
g;0;10;20;30;;0.133358263077514;3327.164326;3327.23715401849;-0.0728280184862342;-2.18889154097747e-05
La;16.6683786424121;277.834846566819;555.669693133637;833.504539700456;;0.134484430330948;3308.058094;3308.09396719108;-0.0358731910773713;-1.08441841279742e-05
lm;13.3347029139297;444.53575450691;889.07150901382;1333.60726352073;;0.135610279313921;3289.450833;3289.43060725676;0.0202257432365514;6.14866865728628e-06
kapa;0.25;0;0;0;;0.136736287425988;3271.30124;3271.3230293544;-0.0217893543967875;-6.66076059592345e-06
Nm;2.66656524956338;12.220159919796;24.4403198395919;36.6604797593879;;0.137861977159211;3253.657009;3253.66556506006;-0.00855606006280141;-2.62967486712162e-06
