Parameter;Value;;s;iObs(s);Fit
cno;0;;0.113071811873974;3791.754764;3791.32652352857
mu;8;;0.114199570884326;3758.087945;3757.73336924723
beta;3;;0.115327329955705;3725.681654;3725.32477284571
a3;3.5;;0.1164549298039;3694.406898;3693.96873304731
da3;0.6;;0.117582529670113;3664.092589;3663.73629153219
a3min;2.9;;0.118709970294594;3634.879179;3634.45036641805
sig3;0.3;;0.119837251849672;3606.431432;3606.08251760989
u3;0;;0.120964533425294;3579.011833;3578.69146448475
eta;0.87;;0.122091814929347;3552.586397;3552.20948627337
nu;4;;0.123218778035669;3526.837888;3526.39641966068
alpha;0.3;;0.124345741275647;3501.915922;3501.54315716367
sig1;0.15;;0.125472704443296;3477.733824;3477.39324418737
lcc;1.412;;0.126599508368285;3454.252156;3453.95085946067
q;0;;0.127726153222398;3431.589196;3431.2730049871
dan;0;;0.128852798001098;3409.460862;3409.15320516453
k;780;;0.129979283686833;3388.048712;3387.6345099133
const1;1500;;0.131105769246878;3367.23972;3366.85949620621
const2;0;;0.132232095803505;3346.924067;3346.58165619302
g;0;;0.133358263077514;3327.164326;3326.90466739807
La;16.6666666666667;;0.134484430330948;3308.058094;3307.79863337918
lm;13.3333333333333;;0.135610279313921;3289.450833;3289.1492693946
kapa;0.25;;0.136736287425988;3271.30124;3271.04337164629
Nm;2.66666666666667;;0.137861977159211;3253.657009;3253.30727197328
N;3;;0.138987666905207;3236.454634;3236.18740048632
Lc;10.5;;0.140113356677289;3219.749635;3219.48504536166
kapc;0.125;;0.141238887261257;3203.453207;3203.18613018158
;;;0.142364258714782;3187.615982;3187.38765323361
;;;0.143489470870494;3171.131063;3170.87156947049
;;;0.14461452401106;3153.452564;3153.17304633041
;;;0.145739577021515;3136.256505;3135.95656466826
;;;0.146864630024656;3119.559024;3119.37744486954
;;;0.14798936476348;3103.430802;3103.14409990553
;;;0.149114099464821;3087.659911;3087.36312769754
;;;0.150238675036261;3072.366298;3072.13157903003
;;;0.151363250506901;3057.610466;3057.30118196618
;;;0.152487507747257;3043.171519;3042.98661101937
;;;0.153611764966984;3029.249901;3028.90726952266
;;;0.154735862912521;3015.674667;3015.49364269168
;;;0.155859960883342;3002.610668;3002.30822283855
;;;0.156983899770614;2989.857498;2989.57116727818
