Parameter;Value;;s;iObs(s);Fit
cno;0;;0.113071811873974;3791.754764;3791.56514490687
mu;8.00102972110431;;0.114199570884326;3758.087945;3758.08354795647
beta;3.00026503540377;;0.115327329955705;3725.681654;3725.60594696787
a3;3.49942791414912;;0.1164549298039;3694.406898;3694.34303617386
da3;0.60419073220284;;0.117582529670113;3664.092589;3664.08506329923
a3min;2.89523718194628;;0.118709970294594;3634.879179;3634.78235046409
sig3;0.300013970853644;;0.119837251849672;3606.431432;3606.43978796723
u3;0;;0.120964533425294;3579.011833;3579.03850479264
eta;0.87005787895517;;0.122091814929347;3552.586397;3552.51718318439
nu;4;;0.123218778035669;3526.837888;3526.76770258851
alpha;0.29997;;0.124345741275647;3501.915922;3501.86882889168
sig1;0.14999;;0.125472704443296;3477.733824;3477.68284433167
lcc;1.41181337761849;;0.126599508368285;3454.252156;3454.21147710495
q;0;;0.127726153222398;3431.589196;3431.5539403828
dan;0;;0.128852798001098;3409.460862;3409.44199389991
k;922.817916157581;;0.129979283686833;3388.048712;3388.01001994464
const1;1774.30539487327;;0.131105769246878;3367.23972;3367.14932935172
const2;-0.072941;;0.132232095803505;3346.924067;3346.97702011784
g;0;;0.133358263077514;3327.164326;3327.17067830002
La;16.6683335000167;;0.134484430330948;3308.058094;3308.09816467778
lm;13.3346668000133;;0.135610279313921;3289.450833;3289.43707471355
kapa;0.25;;0.136736287425988;3271.30124;3271.28540738109
Nm;2.66677431049939;;0.137861977159211;3253.657009;3253.58839414646
N;3.00007819805592;;0.138987666905207;3236.454634;3236.49520092438
Lc;10.4985573909071;;0.140113356677289;3219.749635;3219.74831737093
kapc;0.124983912678427;;0.141238887261257;3203.453207;3203.47907755064
;;;0.142364258714782;3187.615982;3187.65857295468
;;;0.143489470870494;3171.131063;3171.11457681408
;;;0.14461452401106;3153.452564;3153.48427680088
;;;0.145739577021515;3136.256505;3136.24942830527
;;;0.146864630024656;3119.559024;3119.61906270837
;;;0.14798936476348;3103.430802;3103.50107824025
;;;0.149114099464821;3087.659911;3087.65529853639
;;;0.150238675036261;3072.366298;3072.36071505253
;;;0.151363250506901;3057.610466;3057.61508806283
;;;0.152487507747257;3043.171519;3043.21437368846
;;;0.153611764966984;3029.249901;3029.18391848518
;;;0.154735862912521;3015.674667;3015.69036269865
;;;0.155859960883342;3002.610668;3002.52851357555
;;;0.156983899770614;2989.857498;2989.84035827608
;;;0.15810767940509;2977.574134;2977.55158175116
;;;0.159231299842196;2965.590119;2965.64153581904
;;;0.16035476113724;2954.101508;2954.13597382795
;;;0.161478222503194;2942.931085;2943.02182995328
;;;0.162601524577739;2932.231751;2932.25152244382
;;;0.163724667527806;2921.90515;2921.88969537618
;;;0.164847651407849;2912.005428;2911.98881742507
;;;0.165970635134742;2902.394271;2902.45159780435
;;;0.167093459751923;2893.23781;2893.2090788191
;;;0.16821612520082;2884.438532;2884.42037324513
;;;0.169338631422745;2876.089509;2876.10870537903
;;;0.170460978471111;2868.084551;2868.11408330079
;;;0.171583325507391;2860.468891;2860.46711018473
;;;0.172705354237383;2853.291932;2853.28142309482
;;;0.173827383023807;2846.501085;2846.50850319926
;;;0.174949252586402;2840.13272;2840.14634539788
;;;0.176071122122647;2834.123111;2834.14713213091
;;;0.177192673262706;2828.622308;2828.63718636741
;;;0.178314224441764;2823.428854;2823.46882562854
;;;0.179435457365942;2818.772822;2818.81025921071
;;;0.180556690168913;2814.502892;2814.51049134732
;;;0.181677763794497;2810.751451;2810.7300311769
;;;0.182798678293267;2807.436188;2807.37554863398
;;;0.183919433603499;2804.498373;2804.49561964692
;;;0.185040188988585;2802.122263;2802.12353476737
;;;0.186160625939746;2800.203447;2800.18453341517
;;;0.187281062912837;2798.768851;2798.77593799351
;;;0.188401181478974;2797.829232;2797.79154088976
;;;0.189521300124669;2797.42599;2797.43626845641
;;;0.190641259613451;2797.52955;2797.50726257768
;;;0.191761059881593;2798.159859;2798.16732753417
;;;0.192880700977079;2799.357457;2799.36211448061
;;;0.19400018283567;2801.07817;2801.09135016585
;;;0.195119505616708;2803.394416;2803.38822418246
;;;0.196238669143473;2806.243748;2806.27142231021
;;;0.197357832672223;2809.689171;2809.71899542758
;;;0.198476677921099;2813.740592;2813.74760027903
;;;0.199595363943287;2818.430767;2818.40245566237
;;;0.200714050041235;2823.683893;2823.71228803432
;;;0.201832417725642;2829.532828;2829.54391232798
;;;0.20295078530911;2836.098184;2836.07490476678
;;;0.204068993915104;2843.219748;2843.18421077431
;;;0.205186883972162;2851.029879;2851.0761104366
;;;0.206304774218782;2859.541132;2859.49823750983
;;;0.207422345937024;2868.646845;2868.65238485762
;;;0.208539917775336;2878.422133;2878.43723183063
;;;0.209657330406859;2888.910686;2888.83288848481
;;;0.210774424706643;2900.011356;2899.97490825173
;;;0.211891518962768;2911.761423;2911.79597334238
;;;0.213008294905333;2924.228333;2924.24462690455
;;;0.214125070841599;2937.345105;2937.33848791326
;;;0.215241687556364;2951.123228;2951.09175974414
;;;0.216357986038655;2965.547678;2965.56352869744
;;;0.217474284455093;2980.637276;2980.64363394574
;;;0.218590264431402;2996.336874;2996.33778935763
;;;0.21970608528195;3012.653669;3012.65545634041
;;;0.220821906225636;3029.632735;3029.58867379094
;;;0.221937408694718;3047.143145;3047.12627814294
;;;0.223052752042751;3065.2553;3065.27104185696
;;;0.224167936196142;3083.893799;3083.89793523004
;;;0.225283120386583;3103.087155;3103.07256581242
;;;0.226397986238133;3122.785778;3122.76007087087
;;;0.227512692894535;3142.939812;3142.91473904195
;;;0.228627081160329;3163.535453;3163.5275313731
;;;0.229741469447832;3184.545011;3184.51493629325
;;;0.230855698647227;3205.895693;3205.90464131138
;;;0.23196960941402;3227.590008;3227.59656584599
;;;0.233083520120517;3249.596944;3249.55828986527
;;;0.234197112513238;3271.785129;3271.80730867834
;;;0.235310545782136;3294.193596;3294.16891888299
;;;0.236423819848958;3316.76557;3316.76842177429
;;;0.237536934746281;3339.393327;3339.37043556827
;;;0.238649890506147;3362.062569;3362.07486498984
;;;0.239762687048807;3384.708117;3384.68419665086
;;;0.240875165232284;3407.282674;3407.26902199649
;;;0.241987643348108;3429.696991;3429.70814092008
;;;0.243099803218011;3451.900222;3451.90158063713
;;;0.244211803822324;3473.850675;3473.82820487789
;;;0.245323645301443;3495.452523;3495.43025099241
;;;0.24643516853263;3516.636612;3516.64989081806
;;;0.247546691651295;3537.380219;3537.37054816059
;;;0.24865789640948;3557.556134;3557.58469496759
;;;0.249769101167092;3577.151965;3577.13621292381
;;;0.250879828407113;3596.065383;3596.06616897653
;;;0.251990555699392;3614.24294;3614.23209072046
;;;0.253101123777158;3631.609362;3631.60367564629
;;;0.254211373483112;3648.140008;3648.12828304104
;;;0.255321464079462;3663.68304;3663.71571338913
;;;0.25643139547929;3678.280597;3678.25947700816
;;;0.257541167595122;3691.796106;3691.79289177603
;;;0.258650621490567;3704.242762;3704.2242856128
;;;0.259759916203732;3715.480172;3715.48200533715
;;;0.260869051645682;3725.516299;3725.53901212245
;;;0.261978027948639;3734.310695;3734.2936443422
;;;0.263086845133231;3741.767961;3741.75903826567
;;;0.264195343959488;3747.882928;3747.90671260721
;;;0.265303683542955;3752.644017;3752.63997611897
;;;0.266411704811648;3755.960463;3755.95307089622
;;;0.267519726106061;3757.847987;3757.84351651018
;;;0.268627429069643;3758.256147;3758.27007481946
;;;0.269734972810885;3757.184527;3757.19858442688
;;;0.270842198151545;3754.628488;3754.6093870453
;;;0.271949423527267;3750.557306;3750.57607084663
;;;0.273056171458001;3744.996079;3744.9887388341
;;;0.274162919343727;3737.90731;3737.93310260469
