Parameter;Value;;s;iObs(s);Fit
cno;0;;0.117582529670113;3664.092589;2112.92408067384
mu;4;;0.123218778035669;3526.837888;2099.19148910834
beta;0.5;;0.128852798001098;3409.460862;2087.01478762068
a3;3.5;;0.134484430330948;3308.058094;2076.33434715404
da3;0.4;;0.140113356677289;3219.749635;2066.94067111564
a3min;3.1;;0.145739577021515;3136.256505;2058.54275686718
sig3;0.25;;0.151363250506901;3057.610466;2051.22492911257
u3;0;;0.156983899770614;2989.857498;2044.84085617229
eta;1;;0.162601524577739;2932.231751;2039.42412943238
nu;4;;0.16821612520082;2884.438532;2034.95702686139
alpha;0.2;;0.173827383023807;2846.501085;2031.38875539576
sig1;0.1;;0.179435457365942;2818.772822;2028.79101442404
lcc;1.412;;0.185040188988585;2802.122263;2027.35160420923
q;0;;0.190641259613451;2797.52955;2027.09252450669
dan;0;;0.196238669143473;2806.243748;2028.28818586232
k;500;;0.201832417725642;2829.532828;2031.10471968225
const1;1600;;0.207422345937024;2868.646845;2036.03656088259
const2;0;;0.213008294905333;2924.228333;2043.54473142221
g;0;;0.218590264431402;2996.336874;2054.46913640935
La;25;;0.224167936196142;3083.893799;2069.92840008673
lm;20;;0.229741469447832;3184.545011;2091.73411801652
kapa;0.25;;0.235310545782136;3294.193596;2122.6896195272
Nm;8;;0.240875165232284;3407.282674;2167.67292373049
N;10;;0.24643516853263;3516.636612;2235.04214250483
Lc;35;;0.251990555699392;3614.24294;2340.31369300217
kapc;0.25;;0.257541167595122;3691.796106;2512.33641468295
;;;0.263086845133231;3741.767961;2801.64990795536
;;;0.268627429069643;3758.256147;3278.63740637329
;;;0.274162919343727;3737.90731;3973.06099701931
;;;0.279693315932238;3680.42088;4705.19793274854
;;;0.285218141438538;3588.540881;5013.62852032792
;;;0.290737714118951;3467.783898;4607.83908482872
;;;0.296251715733432;3325.572877;3800.19857786211
;;;0.301760146079812;3170.379116;3066.60126252056
;;;0.307262846256027;3010.50305;2579.6589542816
;;;0.312759497624586;2853.425336;2293.86954984364
;;;0.318250418761581;2705.136313;2128.68643004892
;;;0.323735131979021;2569.748622;2029.49375254132
;;;0.329213796545341;2449.7374;1966.42491770073
;;;0.33468609413098;2345.925758;1923.92311184208
;;;0.340152024638723;2257.960628;1893.84392366175
;;;0.345611428963204;2184.683857;1871.57035305513
;;;0.351064466273022;2124.424798;1854.52008923543
;;;0.356510659041201;2075.34243;1841.09004892832
;;;0.361950007193063;2035.614426;1830.24571468143
;;;0.367382670083742;2003.551028;1821.35982552943
;;;0.372808170037641;1977.735908;1813.93838661732
;;;0.378226666207615;1956.950456;1807.7111402314
;;;0.383637840370879;1940.254724;1802.45371759115
;;;0.389041851617939;1926.921876;1798.02028770672
;;;0.394438381522139;1916.453713;1794.34832389028
;;;0.399827271075224;1908.535173;1791.38508452909
;;;0.405208838556983;1902.989022;1789.14130839652
;;;0.410582447296387;1899.844115;1787.67435480271
;;;0.415948415467429;1899.267022;1787.10489065326
;;;0.421306265796524;1901.570578;1787.67261947612
;;;0.426656316507676;1907.265035;1789.73845952241
;;;0.431998090043932;1916.945067;1793.95926202149
;;;0.437331745733121;1931.133687;1801.35296009982
;;;0.442656965060687;1950.499945;1813.53085860201
;;;0.447973748046989;1975.15291;1832.79798294952
;;;0.453282094763408;2004.315082;1861.78664180432
;;;0.458581845944739;2036.007018;1901.90715715416
;;;0.463872683337787;2066.999819;1950.39304483185
;;;0.469154925225927;2093.321695;1997.90365160533
;;;0.474428094098678;2111.308673;2031.30674758066
;;;0.479692190051197;2118.750674;2042.04746961113
;;;0.484947212879189;2115.524007;2031.62913920668
;;;0.490193003591772;2103.379108;2008.40361308325
;;;0.49542940294955;2085.062431;1980.87561647764
;;;0.500656570100094;2063.445239;1954.25788777815
;;;0.505874027461083;2040.841305;1930.73401467814
;;;0.511081934351649;2018.815336;1910.7829491341
;;;0.516279972417444;1998.251423;1894.2136138647
;;;0.521468300695842;1979.500867;1880.68830249269
;;;0.526646760090737;1962.576646;1869.93079287609
;;;0.531815032314615;1947.297391;1861.80547480021
;;;0.53697327644932;1933.379139;1856.31842756964
;;;0.542121333299245;1920.514193;1853.59902357217
;;;0.5472588846414;1908.395814;1853.81653122736
;;;0.552386248655115;1896.741439;1856.98393434138
;;;0.557502947960469;1885.325807;1862.57896538081
;;;0.562609141619755;1873.965814;1869.07813011442
;;;0.567704511423778;1862.551238;1873.73000720938
;;;0.572789057209834;1851.013279;1873.23808256658
;;;0.57786277911573;1839.352162;1865.43069498633
;;;0.582925517873812;1827.605592;1850.6839915405
;;;0.587977114358548;1815.847427;1831.71146825958
;;;0.59301756857933;1804.174552;1811.83869896191
;;;0.598046721284598;1792.696406;1793.49013778498
;;;0.603064413302678;1781.512227;1777.74816091256
;;;0.608070644752534;1770.724328;1764.71698430952
;;;0.61306525637554;1760.413909;1754.05522379914
;;;0.618048407317708;1750.641049;1745.28772076446
;;;0.623019620177313;1741.448124;1737.98681147324
;;;0.62797889477568;1732.861903;1731.80911382836
;;;0.632926390447786;1724.879549;1726.49636764926
;;;0.637861788686287;1717.492461;1721.85744652679
;;;0.642784930523563;1710.682127;1717.75610680026
;;;0.64769597497312;1704.419917;1714.08599974791
;;;0.652594603676149;1698.672893;1710.77501522191
;;;0.657480816747517;1693.402794;1707.76515389472
;;;0.662354614078564;1688.575228;1705.01047503004
;;;0.667215677383437;1684.157087;1702.48182862814
;;;0.672064165786292;1680.115467;1700.14637821054
;;;0.676899760995567;1676.421534;1697.99006604946
;;;0.68172246295884;1673.050632;1695.99396384721
;;;0.686532112510113;1669.98159;1694.14547329067
;;;0.691328868897289;1667.197023;1692.43438680443
;;;0.696112413648854;1664.683193;1690.85379118645
;;;0.700882587730433;1662.428906;1689.39858576032
;;;0.705639550199084;1660.43142;1688.0638471159
;;;0.710382982735262;1658.683127;1686.84897234576
;;;0.715112885305435;1657.189909;1685.75432431496
;;;0.719829257955474;1655.953164;1684.77909344031
;;;0.724531941532995;1654.982935;1683.93077311647
;;;0.729220776915018;1654.291719;1683.21350954012
;;;0.733895763906016;1653.899947;1682.63743943971
;;;0.738556743496573;1653.828314;1682.2140866284
;;;0.743203715600856;1654.105593;1681.96225899501
;;;0.747836361970102;1654.765575;1681.90496333311
;;;0.752455000839011;1655.849361;1682.07400139785
;;;0.757059154692793;1657.401204;1682.51173386735
;;;0.761648982764575;1659.470837;1683.27526953864
;;;0.766224325965976;1662.109309;1684.44246255731
;;;0.770785024924846;1665.361544;1686.11800900954
;;;0.775331079662131;1669.269059;1688.44373772772
;;;0.779862331143755;1673.849945;1691.60620357898
;;;0.784378779344214;1679.093406;1695.84054345853
;;;0.788880264957231;1684.94652;1701.42257299306
;;;0.793366628946414;1691.297276;1708.62640379606
;;;0.797838030332872;1697.973309;1717.64025382426
;;;0.802294150994992;1704.736071;1728.4084122141
;;;0.806735149908622;1711.296903;1740.45918521208
;;;0.811160708774231;1717.339844;1752.79922187529
;;;0.815570827610731;1722.556641;1764.03363097743
;;;0.819965347228773;1726.688452;1772.75465013084
;;;0.824344267744193;1729.557888;1778.02316468346
;;;0.82870758890281;1731.085347;1779.67748622853
;;;0.833055151783865;1731.294173;1778.25531861698
;;;0.837386637873353;1730.294727;1774.66683087826
;;;0.841702365614105;1728.261661;1769.83454263063
;;;0.84600201658557;1725.39574;1764.48570835295
;;;0.85028559086481;1721.909099;1759.089869887
;;;0.854552929195541;1717.99471;1753.89695233722
;;;0.858804031695197;1713.822963;1748.99902229768
;;;0.863038898220686;1709.532261;1744.39965599792
;;;0.867257210470883;1705.229979;1740.05868413729
;;;0.871458968516475;1700.996206;1735.93017788807
;;;0.875644172252595;1696.889384;1731.9788386607
;;;0.879812662572537;1692.94899;1728.19038566885
;;;0.883964598600232;1689.202919;1724.57159538608
;;;0.888099502801337;1685.666202;1721.14306563607
;;;0.892217534454628;1682.349341;1717.93263912159
;;;0.896318693551932;1679.256167;1714.96807828274
;;;0.900402661603631;1676.38686;1712.2749217665
;;;0.904469438735102;1673.738851;1709.87455448458
;;;0.908519184013312;1671.304327;1707.78308312554
;;;0.912551420024611;1669.073852;1706.01495637796
;;;0.91656646509979;1667.033332;1704.57977213832
;;;0.92056400076583;1665.166769;1703.48168233999
;;;0.924544027200542;1663.4527;1702.71042361751
;;;0.928506385159294;1661.867743;1702.23601435813
;;;0.932451074611752;1660.385654;1701.99966668266
;;;0.936378095538437;1658.980923;1701.90952996831
;;;0.940287129647342;1657.625996;1701.85141444878
;;;0.944178495214498;1656.297829;1701.70358481949
;;;0.94805171483683;1654.976397;1701.36495397351
;;;0.951906947588408;1653.646096;1700.77399996753
;;;0.95574403428099;1652.298556;1699.92033929921
;;;0.959562975053257;1650.928412;1698.83506391164
;;;0.963363451354479;1649.53659;1697.5757832307
;;;0.967145781685408;1648.128063;1696.2078999063
;;;0.970909647702629;1646.711078;1694.79109274258
;;;0.974655049262042;1645.2936;1693.37252342122
;;;0.978381827290003;1643.885824;1691.9858587863
;;;0.982090140973212;1642.4979;1690.65220951965
;;;0.985779671944263;1641.137755;1689.38367528567
;;;0.989450261059108;1639.813148;1688.18557563896
;;;0.993102226587595;1638.530648;1687.05931554635
;;;0.996735250306225;1637.294389;1686.00348740312
;;;1.00034917276116;1636.108752;1685.0150787002
;;;1.00394415355946;1634.975362;1684.09080339893
;;;1.00752003325343;1633.896891;1683.22673178843
;;;1.01107681139717;1632.872135;1682.41936083146
;;;1.01461417044282;1631.902625;1681.66531527247
;;;1.0181322693218;1630.987559;1680.96160050673
;;;1.02163094918845;1630.125754;1680.30443362765
;;;1.02511020896693;1629.316676;1679.69123163743
;;;1.02857004924314;1628.55895;1679.11955107094
;;;1.03201015257821;1627.851301;1678.58743664027
;;;1.03543067676919;1627.191733;1678.09234005487
;;;1.03883162234683;1626.579476;1677.63261824764
;;;1.04221251146201;1626.013036;1677.20579804336
;;;1.04557382235529;1625.490739;1676.81162401245
;;;1.04891507712188;1625.010678;1676.44778299954
;;;1.05223643495815;1624.572549;1676.11308863717
;;;1.05553773690276;1624.173978;1675.80614817885
;;;1.0588188234;1623.814167;1675.5265493367
;;;1.06207985353569;1623.491572;1675.27247016
;;;1.06532066870854;1623.204925;1675.04367560197
;;;1.06854126838208;1622.954002;1674.83931045883
;;;1.07174133452084;1622.736504;1674.65827439356
;;;1.07492118522337;1622.552387;1674.50004686687
;;;1.07808050223973;1622.400448;1674.36396770827
;;;1.08121928578377;1622.279151;1674.24989829783
;;;1.08433753552048;1622.188245;1674.15710244426
;;;1.08743509253851;1622.126625;1674.0849757427
;;;1.0905119566594;1622.093522;1674.03294764755
;;;1.09356796821699;1622.088786;1674.00136760854
;;;1.09660328755109;1622.109692;1673.98913564467
;;;1.09961775533231;1622.157855;1673.99646205473
;;;1.10261121119043;1622.230975;1674.02300286215
;;;1.10558365611981;1622.329862;1674.06798408522
;;;1.10853508990219;1622.452148;1674.13256474359
;;;1.11146535350755;1622.598334;1674.21373816519
;;;1.11437444653861;1622.767858;1674.31369350802
;;;1.11726252845727;1622.959628;1674.4311680898
;;;1.12012912132449;1623.173161;1674.56618124182
;;;1.12297454432082;1623.408358;1674.71786566368
;;;1.1257984782953;1623.6644;1674.88552437693
;;;1.12860092385325;1623.941249;1675.06892396447
;;;1.13138203988192;1624.237763;1675.26730831493
;;;1.13414150766779;1624.554078;1675.47978365882
;;;1.13687948701364;1624.889445;1675.70562880849
;;;1.13959565934895;1625.244039;1675.94393188323
;;;1.14229034259396;1625.616913;1676.19354252185
;;;1.14496305998181;1626.008191;1676.45308600418
;;;1.14761412939591;1626.416711;1676.72121864929
;;;1.15024323274397;1626.843925;1676.99704370751
;;;1.15285052872491;1627.288163;1677.27970869969
;;;1.15543585868039;1627.749837;1677.56670268108
;;;1.15799922256078;1628.228154;1677.85819007941
;;;1.16054046073094;1628.723915;1678.15196292889
;;;1.16305973260678;1629.235719;1678.44867039389
;;;1.16555672019692;1629.76455;1678.74650526602
;;;1.16803158223485;1630.309305;1679.04614113198
;;;1.1704841597022;1630.87057;1679.34700841758
