Parameter;Value;;s;iObs(s);Fit
cno;0;;0.117582529670113;3664.092589;3873.22031787798
mu;3.75333315046391;;0.123218778035669;3526.837888;3716.86221882405
beta;0.802977145161957;;0.128852798001098;3409.460862;3581.54071861656
a3;3.96272344074599;;0.134484430330948;3308.058094;3464.02289661712
da3;0.570933753035507;;0.140113356677289;3219.749635;3361.76179262211
a3min;3.39178968771049;;0.145739577021515;3136.256505;3272.47190705602
sig3;1;;0.151363250506901;3057.610466;3194.57193452676
u3;0;;0.156983899770614;2989.857498;3126.69411552499
eta;0.795958377613464;;0.162601524577739;2932.231751;3067.9078427489
nu;4;;0.16821612520082;2884.438532;3017.4825542119
alpha;0.197462720391359;;0.173827383023807;2846.501085;2974.84676231099
sig1;0.226825091865843;;0.179435457365942;2818.772822;2939.73110539203
lcc;1.38632808369482;;0.185040188988585;2802.122263;2912.06395459527
q;0;;0.190641259613451;2797.52955;2892.0584892908
dan;0;;0.196238669143473;2806.243748;2880.04817867376
k;662.104780198793;;0.201832417725642;2829.532828;2876.84523641768
const1;1891.92415025397;;0.207422345937024;2868.646845;2883.49703894731
const2;-0.0719179345954391;;0.213008294905333;2924.228333;2901.43317197014
g;0;;0.218590264431402;2996.336874;2932.51540898231
La;25.3212352695755;;0.224167936196142;3083.893799;2978.80846701113
lm;20.2569882156604;;0.229741469447832;3184.545011;3042.32772911742
kapa;0.25;;0.235310545782136;3294.193596;3124.29675216144
Nm;4.67427145726156;;0.240875165232284;3407.282674;3223.84689251791
N;5.91963691507706;;0.24643516853263;3516.636612;3336.20084658221
Lc;23.4578839640811;;0.251990555699392;3614.24294;3450.65822664593
kapc;0.266429853123057;;0.257541167595122;3691.796106;3549.80693092533
;;;0.263086845133231;3741.767961;3611.65551185484
;;;0.268627429069643;3758.256147;3615.826495792
;;;0.274162919343727;3737.90731;3551.7657300172
;;;0.279693315932238;3680.42088;3424.39292891866
;;;0.285218141438538;3588.540881;3252.64019886271
;;;0.290737714118951;3467.783898;3061.77139782308
;;;0.296251715733432;3325.572877;2874.6108628982
;;;0.301760146079812;3170.379116;2706.17595038643
