Parameter;Value;;s;iObs(s);Fit
cno;0;;0.117582529670113;3664.092589;3447.51904727362
mu;8;;0.123218778035669;3526.837888;3327.96974959922
beta;2.5;;0.128852798001098;3409.460862;3224.03460155249
a3;3.5;;0.134484430330948;3308.058094;3132.85018246136
da3;0.6;;0.140113356677289;3219.749635;3052.49624863312
a3min;2.9;;0.145739577021515;3136.256505;2978.8141759038
sig3;0.3;;0.151363250506901;3057.610466;2911.14932392951
u3;0;;0.156983899770614;2989.857498;2851.42874785106
eta;0.87;;0.162601524577739;2932.231751;2798.8792288882
nu;4;;0.16821612520082;2884.438532;2752.56547436397
alpha;0.3;;0.173827383023807;2846.501085;2712.63331536593
sig1;0.15;;0.179435457365942;2818.772822;2678.90919806168
lcc;1.412;;0.185040188988585;2802.122263;2652.00715835648
q;0;;0.190641259613451;2797.52955;2632.6925228724
dan;0;;0.196238669143473;2806.243748;2622.54603673253
k;720;;0.201832417725642;2829.532828;2623.4816307375
const1;1520;;0.207422345937024;2868.646845;2637.80617841943
const2;0;;0.213008294905333;2924.228333;2668.50130706276
g;0;;0.218590264431402;2996.336874;2718.41848069175
La;16.6666666666667;;0.224167936196142;3083.893799;2790.13425231599
lm;13.3333333333333;;0.229741469447832;3184.545011;2885.14176807488
kapa;0.25;;0.235310545782136;3294.193596;3002.9706598097
Nm;3.2;;0.240875165232284;3407.282674;3140.45270492282
N;3.6;;0.24643516853263;3516.636612;3290.8324903101
Lc;12.6;;0.251990555699392;3614.24294;3443.87777658223
kapc;0.125;;0.257541167595122;3691.796106;3586.25305826351
;;;0.263086845133231;3741.767961;3703.06788750183
;;;0.268627429069643;3758.256147;3780.12040112501
;;;0.274162919343727;3737.90731;3806.47772593558
;;;0.279693315932238;3680.42088;3776.44925994765
;;;0.285218141438538;3588.540881;3691.15179337353
;;;0.290737714118951;3467.783898;3557.91614746496
;;;0.296251715733432;3325.572877;3389.13983745921
;;;0.301760146079812;3170.379116;3199.68532275115
;;;0.307262846256027;3010.50305;3004.38980034244
;;;0.312759497624586;2853.425336;2815.98807725629
;;;0.318250418761581;2705.136313;2643.64591466682
;;;0.323735131979021;2569.748622;2492.8809556512
;;;0.329213796545341;2449.7374;2365.65040027245
;;;0.33468609413098;2345.925758;2261.37979211043
;;;0.340152024638723;2257.960628;2177.80882986559
;;;0.345611428963204;2184.683857;2111.87211306853
;;;0.351064466273022;2124.424798;2060.31099326284
;;;0.356510659041201;2075.34243;2020.10330736757
;;;0.361950007193063;2035.614426;1988.65931345805
;;;0.367382670083742;2003.551028;1963.91839708004
;;;0.372808170037641;1977.735908;1944.26909946603
;;;0.378226666207615;1956.950456;1928.51616763284
;;;0.383637840370879;1940.254724;1915.81825451459
;;;0.389041851617939;1926.921876;1905.61047494106
