Parameter;Value;1-sigma errorCount;2-sigma errorCount;3-sigma errorCount;;s;I;Ifit;abwAbs;abwRel
cno;0;0;0;0;;0.113071811873974;3791.754764;3791.66324578764;0.0915182123594604;2.41361106019726e-05
mu;8.00060472708094;10;20;30;;0.114199570884326;3758.087945;3758.08147904049;0.00646595950820483;1.72054502258457e-06
beta;3.00038897641303;10;20;30;;0.115327329955705;3725.681654;3725.62721698396;0.0544370160350809;1.46112902525195e-05
a3;3.49941133849571;10;20;30;;0.1164549298039;3694.406898;3694.39013344909;0.0167645509113754;4.53781929663759e-06
da3;0.604037001260421;10;20;30;;0.117582529670113;3664.092589;3664.08973050572;0.00285849428064466;7.80137021980878e-07
a3min;2.89537433723529;20;40;60;;0.118709970294594;3634.879179;3634.80548197472;0.0736970252842184;2.02749587138941e-05
sig3;0.299887756828054;10;20;30;;0.119837251849672;3606.431432;3606.50117021482;-0.0697382148186989;-1.93371802940461e-05
u3;0;0;0;0;;0.120964533425294;3579.011833;3579.0038739765;0.00795902350228062;2.22380474657699e-06
eta;0.870046308725998;10;20;30;;0.122091814929347;3552.586397;3552.57067849194;0.0157185080606723;4.42452520618384e-06
nu;4;0;0;0;;0.123218778035669;3526.837888;3526.80853603317;0.0293519668257431;8.32245987988636e-06
alpha;0.299972645961521;10;20;30;;0.124345741275647;3501.915922;3501.8897134794;0.0262085205981748;7.48405192526915e-06
sig1;0.149988864279989;10;20;30;;0.125472704443296;3477.733824;3477.69540069877;0.0384233012323421;1.10483732156789e-05
lcc;1.41182837999479;10;20;30;;0.126599508368285;3454.252156;3454.24967404616;0.00248195383937855;7.18521325974255e-07
q;0;10;20;30;;0.127726153222398;3431.589196;3431.5434393243;0.0457566756999768;1.33339607646838e-05
dan;0;0;0;0;;0.128852798001098;3409.460862;3409.43004836665;0.0308136333474067;9.03768501666605e-06
k;922.775243812775;10;20;30;;0.129979283686833;3388.048712;3387.98829303467;0.0604189653317917;1.78329683153008e-05
const1;1774.20631335482;10;20;30;;0.131105769246878;3367.23972;3367.18789553981;0.0518244601871629;1.5390784291165e-05
